"name","springdist","distprev","elevation","elevationdiff","amenities","links"
" spring ","0.5137E3","0.15E1","0.357E4","0.27E3"," W ",""
" High Point ","0.5143E3","0.6E0","0.404E4","0.47E3"," None ",""
" Trimpi Shelter (pic) ","0.5161E3","0.18E1","0.29E4","-0.114E4"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Trimpi"">Trimpi Shelter</a><a href=""http://farm4.static.flickr.com/3237/2407364533_cdd103b949.jpg"">pic</a>"
" VA 672 ","0.5176E3","0.15E1","0.27E4","-0.2E3"," None ",""
" VA 670 ","0.5189E3","0.13E1","0.245E4","-0.25E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2576162516/in/set-72157605596928499/"">VA 670</a>"
" VA 601 ","0.5227E3","0.38E1","0.325E4","0.8E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/605341537/in/set-72157600452577964/"">VA 601</a>"
" Partnership Shelter (pic) ","0.5267E3","0.4E1","0.336E4","0.11E3"," S,W,Sh ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Partnershi"">Partnership Shelter</a><a href=""http://picasaweb.google.com/lh/photo/J20ObMxsduSM5nabmtTC0A"">pic</a>"
" Mt. Rogers NRA Headquarters ","0.5268E3","0.1E0","0.322E4","-0.14E3"," None ","<a href=""http://www.fs.fed.us/r8/gwj/mr/"">Mt. Rogers NRA Headquarters</a>"
" VA 622 ","0.5275E3","0.7E0","0.327E4","0.5E2"," None ",""
" Brushy Mt. ","0.528E3","0.5E0","0.36E4","0.33E3"," None ",""
" Locust Mt. ","0.5305E3","0.25E1","0.39E4","0.3E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2576072642/in/set-72157605590948604/"">Locust Mt.</a>"
" USFS 86 ","0.5309E3","0.4E0","0.365E4","-0.25E3"," C,W ",""
" Glade Mt. ","0.5318E3","0.9E0","0.39E4","0.25E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2575163103/in/set-72157605596165137/"">Glade Mt.</a>"
" Chatfield Shelter (pic) ","0.5338E3","0.2E1","0.315E4","-0.75E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Chatfield"">Chatfield Shelter</a><a href=""http://farm4.static.flickr.com/3576/3505785712_2c2e4c718e.jpg"">pic</a>"
" USFS 644 ","0.5341E3","0.3E0","0.31E4","-0.5E2"," None ",""
" VA 615, Settlers Museum ","0.5356E3","0.15E1","0.265E4","-0.45E3"," None ","<a href=""http://www.flickr.com/photos/astrogirl/3505782360/"">Settlers Museum</a>"
" VA 729 ","0.5361E3","0.5E0","0.27E4","0.5E2"," None ",""
" I-81 Crossing ","0.5383E3","0.22E1","0.242E4","-0.28E3"," L,R,G,Cl,Sh ","<a href=""http://www.flickr.com/photos/2000miler/2575165311/in/set-72157605596165137/"">I-81 Crossing</a>"
" VA 617 ","0.5394E3","0.11E1","0.258E4","0.16E3"," None ",""
" spring ","0.5401E3","0.7E0","0.261E4","0.3E2"," W ",""
" Davis Path Campsite ","0.541E3","0.9E0","0.284E4","0.23E3"," C ","<a href=""http://walkingnorth.files.wordpress.com/2008/10/may25.jpg"">Davis Path Campsite</a>"
" Guillon (Little Brushy) Mt. ","0.5435E3","0.25E1","0.33E4","0.46E3"," None ",""
" Crawfish Valley ","0.5446E3","0.11E1","0.26E4","-0.7E3"," C,W ",""
" Big Walker Mt. ","0.5463E3","0.17E1","0.35E4","0.9E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/515758/walker-mountain.html"">Big Walker Mt.</a>"
" VA 610 ","0.5477E3","0.14E1","0.27E4","-0.8E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2575872900/in/set-72157605595600707/"">VA 610</a>"
" VA 42 ","0.5501E3","0.24E1","0.265E4","-0.5E2"," W ","<a href=""http://www.flickr.com/photos/2000miler/2575861238/in/set-72157605595600707/"">VA 42</a>"
" Brushy Mt. ","0.551E3","0.9E0","0.32E4","0.55E3"," None ",""
" Knot Maul Branch Shelter (pic) ","0.5523E3","0.13E1","0.288E4","-0.32E3"," S,(NO water) ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=KnotMaul"">Knot Maul Branch Shelter</a><a href=""http://picasaweb.google.com/lh/photo/WyazrI4BDIMbVvjfbfELjA"">pic</a>"
" spring ","0.5524E3","0.1E0","0.281E4","-0.7E2"," W ",""
" Lynn Camp Creek ","0.5534E3","0.1E1","0.24E4","-0.41E3"," W ",""
" Lynn Camp Mt. ","0.5542E3","0.8E0","0.3E4","0.6E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2575033821/in/set-72157605595600707/"">Lynn Camp Mt.</a>"
" USFS 222 ","0.5576E3","0.34E1","0.238E4","-0.62E3"," None ",""
" spring ","0.5595E3","0.19E1","0.38E4","0.142E4"," W ",""
" Chestnut Knob Shelter (pic) ","0.5613E3","0.18E1","0.4409E4","0.609E3"," S,(NO water) ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=ChestnutK"">Chestnut Knob Shelter</a><a href=""http://picasaweb.google.com/lh/photo/DnTyUANunrob3j8_4veEUg"">pic</a>"
" Walker Gap ","0.5626E3","0.13E1","0.352E4","-0.889E3"," W ",""
" VA 623, Garden Mt. ","0.5675E3","0.49E1","0.388E4","0.36E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2561928377/in/set-72157605494433749/"">VA 623</a><a href=""http://www.summitpost.org/mountain/rock/224231/garden-mt-bm-maiden.html"">Garden Mt.</a>"
" Davis Farm Campsite ","0.5683E3","0.8E0","0.385E4","-0.3E2"," C,W ","<a href=""http://www.flickr.com/photos/2000miler/2562752714/in/set-72157605494433749/"">Davis Farm Campsite</a>"
" Jenkins Shelter (pic) ","0.5713E3","0.3E1","0.25E4","-0.135E4"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Jenkins"">Jenkins Shelter</a><a href=""http://picasaweb.google.com/lh/photo/9Gj876HecgtBG0W_v5y1ng"">pic</a>"
" Brushy Mt. ","0.5755E3","0.42E1","0.308E4","0.58E3"," None ",""
" VA 615, Laurel Creek ","0.5761E3","0.6E0","0.245E4","-0.63E3"," C,W ","<a href=""http://www.flickr.com/photos/2000miler/2560059312/in/set-72157605488048844/"">VA 615, Laurel Creek</a>"
" US 21/52 ","0.583E3","0.69E1","0.29E4","0.45E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2560055282/in/set-72157605488048844/"">US 21/52</a>"
" I-77 Crossing ","0.5832E3","0.2E0","0.275E4","-0.15E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2559231853/in/set-72157605488048844/"">I-77 Crossing</a>"
" VA 612, Kimberling Creek ","0.5838E3","0.6E0","0.27E4","-0.5E2"," W ","<a href=""http://image04.webshots.com/4/7/58/89/54475889XlbAQX_ph.jpg"">Kimberling Creek</a>"
" Helveys Mill Shelter (pic) ","0.5853E3","0.15E1","0.309E4","0.39E3"," S,We ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=HelveysM"">Helveys Mill Shelter</a><a href=""http://picasaweb.google.com/lh/photo/BYEMHY-WQ_2HZSXc76cuXg"">pic</a>"
" VA 611 ","0.592E3","0.67E1","0.282E4","-0.27E3"," None ",""
" Brushy Mt. ","0.5934E3","0.14E1","0.3101E4","0.281E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2560052182/in/set-72157605488048844/"">Brushy Mt.</a>"
" Jenny Knob Shelter (pic) ","0.5951E3","0.17E1","0.28E4","-0.301E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=JennyKnob"">Jenny Knob Shelter</a><a href=""http://picasaweb.google.com/lh/photo/EyxLD1vxhOAr4OO3eXwMYw"">pic</a>"
" VA 608, Crandon ","0.5963E3","0.12E1","0.22E4","-0.6E3"," None ",""
" Brushy Mt. ","0.5996E3","0.33E1","0.29E4","0.7E3"," None ",""
" Kimberling Creek Suspension Bridge ","0.6015E3","0.19E1","0.209E4","-0.81E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2559009989/in/set-72157605492426943/"">Kimberling Creek Suspension Bridge</a>"
" VA 606 ","0.6016E3","0.1E0","0.21E4","0.1E2"," None ","<a href=""http://www.flickr.com/photos/2000miler/2559008795/in/set-72157605492426943/"">VA 606</a>"
" Dismal Creek Falls ","0.6035E3","0.19E1","0.232E4","0.22E3"," None ","<a href=""http://www.panoramio.com/photo/5634693"">Dismal Creek Falls</a>"
" White Pine Horse Campground ","0.6074E3","0.39E1","0.24E4","0.8E2"," C,W ",""
" stream ","0.6078E3","0.4E0","0.25E4","0.1E3"," W ","<a href=""http://www.flickr.com/photos/2000miler/2559006397/in/set-72157605492426943/"">stream</a>"
" Wapiti Shelter (pic) ","0.6093E3","0.15E1","0.264E4","0.14E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Wapiti"">Wapiti Shelter</a><a href=""http://www.panoramio.com/photo/16442271"">pic</a>"
" Ribble Trail, north jct. ","0.6138E3","0.45E1","0.38E4","0.116E4"," W ",""
" Big Horse Gap, USFS 103 ","0.6139E3","0.1E0","0.38E4","0.0"," None ","<a href=""http://rohland.homedns.org/at/State/Virginia%20-%20West%20Virginia/at_section34/ATVA570.JPG"">Big Horse Gap, USFS 103</a>"
" Sugar Run Gap, VA 663 ","0.6155E3","0.16E1","0.345E4","-0.35E3"," L ","<a href=""http://www.flickr.com/photos/2000miler/2559512692/in/set-72157605484734902/"">Sugar Run Gap, VA 663</a>"
" Doc’s Knob Shelter (pic) ","0.6177E3","0.22E1","0.3555E4","0.105E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=DocsKnob"">Doc’s Knob Shelter</a><a href=""http://picasaweb.google.com/lh/photo/B7qsPkmdc0RzVVvnUJpCyQ"">pic</a>"
" campsite, spring ","0.6229E3","0.52E1","0.375E4","0.195E3"," C,W ",""
" Pearis Mt. (Angels Rest) ","0.6234E3","0.5E0","0.355E4","-0.2E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2558531483/in/set-72157605489014547/"">Pearis Mt. (Angels Rest)</a>"
" VA 634 ","0.6254E3","0.2E1","0.22E4","-0.135E4"," None ",""
" Lane St, Pearisburg, VA ","0.6259E3","0.5E0","0.165E4","-0.55E3"," L,G,Sh,R*,Cl* ","<a href=""http://www.flickr.com/photos/99692266@N00/1545085653"">Pearisburg, VA</a>"
" US 460, New River ","0.6264E3","0.5E0","0.16E4","-0.5E2"," None ","<a href=""http://www.flickr.com/photos/2000miler/2559353264/in/set-72157605489014547/"">US 460, New River</a>"
" VA 641 (Clendennin Rd.) ","0.6279E3","0.15E1","0.175E4","0.15E3"," None ",""
" spring ","0.6301E3","0.22E1","0.325E4","0.15E4"," C,W ",""
" Rice Field Shelter (pic) ","0.6327E3","0.26E1","0.3375E4","0.125E3","S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=RiceField"">Rice Field Shelter</a><a href=""http://outdoors.webshots.com/photo/1370176862057844437hDCTNq"">pic</a>"
" campsite ","0.6343E3","0.16E1","0.33E4","-0.75E2"," C,W ","<a href=""http://www.flickr.com/photos/2000miler/2558342883/in/set-72157605487933611/"">campsite</a>"
" Symms Gap Meadow ","0.6378E3","0.35E1","0.332E4","0.2E2"," C,W ","<a href=""http://www.flickr.com/photos/2000miler/2559165692/in/set-72157605487933611/"">Symms Gap Meadow</a>"
" Groundhog Trail ","0.6388E3","0.1E1","0.34E4","0.8E2"," None ","<a href=""http://www.flickr.com/photos/2000miler/2558340357/in/set-72157605487933611/"">Groundhog Trail</a>"
" Dickinson Gap ","0.6403E3","0.15E1","0.33E4","-0.1E3"," None ",""
" Peters Mt. ","0.6425E3","0.22E1","0.35E4","0.2E3"," None ",""
" Allegheny Trail ","0.6427E3","0.2E0","0.0","-0.35E4"," None ","<a href=""http://www.flickr.com/photos/broken_images/1545044651/"">Allegheny Trail</a>"
" Pine Swamp Branch Shelter (pic) ","0.6452E3","0.25E1","0.253E4","0.253E4"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=PineSwpB"">Pine Swamp Branch Shelter</a><a href=""http://outdoors.webshots.com/photo/1370176996057844437cMWjPd"">pic</a>"
" VA 635, Stony Creek Valley ","0.6455E3","0.3E0","0.237E4","-0.16E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2558338067/in/set-72157605487933611/"">VA 635, Stony Creek Valley</a>"
" Dismal Branch ","0.6466E3","0.11E1","0.248E4","0.11E3"," W ","<a href=""http://www.flickr.com/photos/11617481@N00/332732423/"">Dismal Branch</a>"
" VA 635, Stony Creek ","0.6476E3","0.1E1","0.245E4","-0.3E2"," W ","<a href=""http://www.flickr.com/photos/2000miler/2558338377/in/set-72157605487933611/"">VA 635, Stony Creek</a>"
" spring ","0.6489E3","0.13E1","0.349E4","0.104E4"," W ",""
" Bailey Gap Shelter (pic) ","0.6491E3","0.2E0","0.3525E4","0.35E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=BaileyGap"">Bailey Gap Shelter</a><a href=""http://outdoors.webshots.com/photo/1370177138057844437ZhZONk"">pic</a>"
" VA 613 ","0.6528E3","0.37E1","0.395E4","0.425E3"," None ","<a href=""http://farm4.static.flickr.com/3473/3208129746_889f3113d4.jpg"">VA 613</a>"
" Wind Rock ","0.653E3","0.2E0","0.41E4","0.15E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2557930659/in/set-72157605485528373/"">Wind Rock</a>"
" campsites ","0.6542E3","0.12E1","0.4E4","-0.1E3"," C,W ",""
" War Spur Shelter (pic) ","0.6579E3","0.37E1","0.234E4","-0.166E4"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=WarSpur"">War Spur Shelter</a><a href=""http://outdoors.webshots.com/photo/1370177403057844437keIbCE"">pic</a>"
" USFS 156, Johns Creek Valley ","0.6587E3","0.8E0","0.208E4","-0.26E3"," W ","<a href=""http://www.flickr.com/photos/2000miler/2558754002/in/set-72157605485528373/"">Johns Creek Valley</a>"
" stream ","0.6597E3","0.1E1","0.27E4","0.62E3"," w ",""
" Rocky Gap, VA 601 ","0.6607E3","0.1E1","0.325E4","0.55E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/2558755180/in/set-72157605485528373/"">Rocky Gap, VA 601</a>"
" Laurel Creek Shelter (pic) ","0.6637E3","0.3E1","0.272E4","-0.53E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=LaurelCrk"">Laurel Creek Shelter</a><a href=""http://picasaweb.google.com/lh/photo/5NVBdg0HDq0YT1YtksFatA"">pic</a>"
" spring ","0.6647E3","0.1E1","0.24E4","-0.32E3"," W ",""
" VA 42 ","0.6661E3","0.14E1","0.22E4","-0.2E3"," L ",""
" VA 630, Stinking Creek ","0.667E3","0.9E0","0.21E4","-0.1E3"," W ","<a href=""http://outdoors.webshots.com/photo/1545436805047269387UidMBV"">VA 630, Stinking Creek</a>"
" Keffer Oak ","0.6674E3","0.4E0","0.224E4","0.14E3"," None ","<a href=""http://www.flickr.com/photos/tgaw/2421931216/in/set-72157604591071182/"">Keffer Oak</a>"
" Sarver Hollow Shelter (pic) ","0.6701E3","0.27E1","0.3E4","0.76E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=SarverHoll"">Sarver Hollow Shelter</a><a href=""http://picasaweb.google.com/lh/photo/sCI_4UpoQ9mcsxJjl1hnfg"">pic</a>"
" Stinking Creek Mt. ","0.6737E3","0.36E1","0.345E4","0.45E3"," None ","<a href=""http://www.flickr.com/photos/tgaw/3357764299/"">Stinking Creek Mt.</a>"
" Cabin Branch ","0.6754E3","0.17E1","0.249E4","-0.96E3"," C,W ",""
" Niday Shelter (pic) ","0.6761E3","0.7E0","0.18E4","-0.69E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Niday"">Niday Shelter</a><a href=""http://picasaweb.google.com/lh/photo/HbN9PN7u33YGNubO5W9IbA"">pic</a>"
" VA 621, Craig Creek Valley ","0.6774E3","0.13E1","0.154E4","-0.26E3"," None ","<a href=""http://outdoors.webshots.com/photo/1545449760047269387ufzRLW"">Craig Creek Valley</a>"
" Audie Murphy Monument ","0.6812E3","0.38E1","0.31E4","0.156E4"," None ","<a href=""http://www.panoramio.com/photo/5999580"">Audie Murphy Monument</a>"
" VA 620, Trout Creek ","0.685E3","0.38E1","0.1525E4","-0.1575E4"," W ","<a href=""http://www.flickr.com/photos/2000miler/605226515/in/set-72157600452577964/"">Trout Creek</a>"
" Pickle Branch Shelter (pic) ","0.6862E3","0.12E1","0.1845E4","0.32E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=PickleBr"">Pickle Branch Shelter</a><a href=""http://images33.fotki.com/v1071/photos/1/1255226/5659180/050427-vi.jpg"">pic</a>"
" Cove Mt, Dragons Tooth ","0.6904E3","0.42E1","0.302E4","0.1175E4"," None ","<a href=""http://picasaweb.google.com/getathike/ATVirginia#5205087602036667794"">Cove Mt, Dragons Tooth</a>"
" Lost Spectacles Gap ","0.6914E3","0.1E1","0.255E4","-0.47E3"," None ",""
" Rawies Rest ","0.6919E3","0.5E0","0.235E4","-0.2E3"," None ",""
" VA 624, North Mt. Trail ","0.6929E3","0.1E1","0.181E4","-0.54E3"," R,G ","<a href=""http://doc.dartmouth.edu/mw/images/6/6f/VA6242.jpg"">VA 624, North Mt. Trail</a>"
" VA 785 ","0.6945E3","0.16E1","0.179E4","-0.2E2"," None ","<a href=""http://www.flickr.com/photos/2000miler/605306416/in/set-72157600452577964/"">VA 785</a>"
" VA 311, Catawba, VA ","0.6988E3","0.43E1","0.199E4","0.2E3"," C*,R*,G* ","<a href=""http://www.flickr.com/photos/2000miler/605032181/in/set-72157600452577964/"">VA 311, Catawba, VA</a>"
" Johns Spring Shelter (pic) ","0.6998E3","0.1E1","0.198E4","-0.1E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=BoyScout"">Johns Spring Shelter</a><a href=""http://www.virginiaplaces.org/parktour/graphics/johnsspringshelter.jpg"">pic</a>"
" Catawba Mt. Shelter (pic) ","0.7008E3","0.1E1","0.258E4","0.6E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Catawba"">Catawba Mt. Shelter</a><a href=""http://picasaweb.google.com/lh/photo/R3m3_rKUvycLNUte8gt5gw"">pic</a>"
" McAfee Knob ","0.7025E3","0.17E1","0.3197E4","0.617E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/280069/mcafee-knob.html"">McAfee Knob</a>"
" Pig Farm Campsite ","0.7031E3","0.6E0","0.3E4","-0.197E3"," C,W ",""
" Campbell Shelter (pic) ","0.7032E3","0.1E0","0.258E4","-0.42E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Campbell"">Campbell Shelter</a><a href=""http://farm4.static.flickr.com/3062/3024816069_c365d717f2.jpg"">pic</a>"
" Brickey’s Gap ","0.7063E3","0.31E1","0.225E4","-0.33E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/604713933/in/set-72157600452577964/"">Brickey’s Gap</a>"
" Tinker Cliffs ","0.7081E3","0.18E1","0.3E4","0.75E3"," None ","<a href=""http://www.summitpost.org/image/589956/280069/tinker-cliffs-view.html"">Tinker Cliffs</a>"
" Scorched Earth Gap ","0.7086E3","0.5E0","0.26E4","-0.4E3"," None ","<a href=""http://www.flickr.com/photos/98576553@N00/2237789367"">Scorched Earth Gap</a>"
" Lamberts Meadow Shelter (pic) ","0.7092E3","0.6E0","0.208E4","-0.52E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=LambertsM"">Lamberts Meadow Shelter</a><a href=""http://www.imrisk.com/blueridge/P6100116_br.JPG"">pic</a>"
" Lamberts Meadow Campsite ","0.7095E3","0.3E0","0.2E4","-0.8E2"," C,W ",""
" Angels Gap ","0.7135E3","0.4E1","0.18E4","-0.2E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/604450880/in/set-72157600452577964/"">Angels Gap</a>"
" Hay Rock, Tinker Ridge ","0.7146E3","0.11E1","0.19E4","0.1E3"," None ","<a href=""http://www.flickr.com/photos/2000miler/604450834/in/set-72157600452577964/"">Hay Rock</a><a href=""http://www.flickr.com/photos/2000miler/604363580/in/set-72157600452577964/"">Tinker Ridge</a>"
" Tinker Creek ","0.7181E3","0.35E1","0.1165E4","-0.735E3"," None ",""
" US 220 ","0.7186E3","0.5E0","0.135E4","0.185E3"," L,R,G,O,Cl,Sh* ",""
" I-81 Crossing ","0.7198E3","0.12E1","0.14E4","0.5E2"," None ",""
" US 11 ","0.7201E3","0.3E0","0.13E4","-0.1E3"," C*,R*,G* ","<a href=""http://www.panoramio.com/photo/5999516"">US 11</a>"
" VA 652 ","0.7207E3","0.6E0","0.145E4","0.15E3"," None ","<a href=""http://purebound.com/AT/virginia_central/VA652_AT_sign.jpg"">VA 652</a>"
" Fullhardt Knob Shelter (pic) ","0.7236E3","0.29E1","0.267E4","0.122E4"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Fullhardt"">Fullhardt Knob Shelter</a><a href=""http://images33.fotki.com/v1067/photos/1/1255226/5659180/050620-vi.jpg"">pic</a>"
" USFS 191 (Salt Pond Rd.) ","0.7264E3","0.28E1","0.226E4","-0.41E3"," None ",""
" Curry Creek ","0.7272E3","0.8E0","0.168E4","-0.58E3"," W ",""
" Wilson Creek ","0.7291E3","0.19E1","0.169E4","0.1E2"," W ","<a href=""http://www.flickr.com/photos/2000miler/603662101/in/set-72157600452577964/"">Wilson Creek</a>"
" Wilson Creek Shelter (pic) ","0.7298E3","0.7E0","0.183E4","0.14E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Fullhardt"">Wilson Creek Shelter</a><a href=""http://www.ragtag.org/at0402gs.jpg"">pic</a>"
" spring ","0.7302E3","0.4E0","0.205E4","0.22E3"," W ",""
" Blackhorse Gap, BRP ","0.7322E3","0.2E1","0.2402E4","0.352E3"," None ","<a href=""http://picasaweb.google.com/mogilews/AppalachianTrailThroughHike2006Part1#5036055931521916210"">Blackhorse Gap, BRP</a>"
" Taylors Mt. Overlook, BRP ","0.733E3","0.8E0","0.235E4","-0.52E2"," None ","<a href=""http://picasaweb.google.com/mogilews/AppalachianTrailThroughHike2006Part1#5036055970176621890"">Taylors Mt. Overlook, BRP</a>"
" Montvale Overlook, BRP ","0.7341E3","0.11E1","0.24E4","0.5E2"," None ","<a href=""http://i227.photobucket.com/albums/dd66/CraigCreekRider/Blue%20Ridge%20Parkway%20Area/Aug%209%202008%20Ride%20Spec%20Mine%20and%20Glenwood/100_3421.jpg"">Montvale Overlook, BRP</a>"
" Harveys Knob Overlook, BRP ","0.7347E3","0.6E0","0.255E4","0.15E3"," None ","<a href=""http://www.flickr.com/photos/mineral2/3079687891/"">Harveys Knob Overlook, BRP</a>"
" Bobblets Gap Shelter ","0.7371E3","0.24E1","0.192E4","-0.63E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=BobbletsG"">Bobblets Gap Shelter</a>"
" Sharp Top Overlook, BRP ","0.7378E3","0.7E0","0.235E4","0.43E3"," None ","<a href=""http://www.flickr.com/photos/mineral2/3079684775/"">Sharp Top Overlook, BRP</a>"
" Mills Gap Overlook, BRP ","0.7385E3","0.7E0","0.245E4","0.1E3"," None ","<a href=""http://picasaweb.google.com/getathike/ATVirginia#5205544672456309122"">Mills Gap Overlook, BRP</a>"
" Bearwallow Gap, VA 43 ","0.7403E3","0.18E1","0.2228E4","-0.222E3"," None ","<a href=""http://travel.webshots.com/photo/2384698710014075959ZpSbfy"">Bearwallow Gap, VA 43</a>"
" Cove Mt. ","0.7417E3","0.14E1","0.272E4","0.492E3"," None ",""
" Little Cove Mt. Trail ","0.7421E3","0.4E0","0.26E4","-0.12E3"," None ",""
" Cove Mt. Shelter (pic) ","0.7435E3","0.14E1","0.1925E4","-0.675E3"," S,(NO water) ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=CoveMtn1"">Cove Mt. Shelter</a><a href=""http://picasaweb.google.com/lh/photo/WzmhVibzCqNFQ0dpUa0sxA"">pic</a>"
" Buchanan Trail ","0.7452E3","0.17E1","0.179E4","-0.135E3"," None ",""
" VA 614, Jennings Creek ","0.7467E3","0.15E1","0.951E3","-0.839E3"," C,W,G*,Cl*,Sh* ","<a href=""http://www.swimmingholes.org/VAJEN31.jpg"">Jennings Creek</a>"
" Fork Mt. ","0.7483E3","0.16E1","0.2042E4","0.1091E4"," None ","<a href=""http://www.flickr.com/photos/2000miler/603320422/in/set-72157600452577964/"">Fork Mt.</a>"
" Bryant Ridge Shelter (pic) ","0.7504E3","0.21E1","0.132E4","-0.722E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=BryantRdg"">Bryant Ridge Shelter</a><a href=""http://picasaweb.google.com/lh/photo/48T6tW7e1WJAslOK8rIF5w"">pic</a>"
" Floyd Mt. ","0.7548E3","0.44E1","0.356E4","0.224E4"," None ",""
" Cornelius Creek Shelter (pic) ","0.7554E3","0.6E0","0.3145E4","-0.415E3"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=Cornelius"">Cornelius Creek Shelter</a><a href=""http://www.panoramio.com/photo/11274451"">pic</a>"
" Black Rock ","0.7563E3","0.9E0","0.345E4","0.305E3"," None ","<a href=""http://www.flickr.com/photos/31286567@N03/3526009662/"">Black Rock</a>"
" Apple Orchard Falls Trail ","0.758E3","0.17E1","0.325E4","-0.2E3"," None ","<a href=""http://www.summitpost.org/image/469960/469959/apple-orchard-falls.html"">Apple Orchard Falls</a>"
" Apple Orchard Mt. ","0.7595E3","0.15E1","0.4225E4","0.975E3"," None ","<a href=""http://www.summitpost.org/mountain/rock/469959/apple-orchard-mountain.html"">Apple Orchard Mt.</a>"
" The Guillotine ","0.7598E3","0.3E0","0.409E4","-0.135E3"," None ","<a href=""http://picasaweb.google.com/mogilews/AppalachianTrailThroughHike2006Part1#5036056455507926482"">The Guillotine</a>"
" Upper BRP mp 76.3 ","0.7604E3","0.6E0","0.39E4","-0.19E3"," None ",""
" Thunder Hill Shelter (pic) ","0.7607E3","0.3E0","0.396E4","0.6E2"," S,W ","<a href=""http://www.cs.utk.edu/~dunigan/at/m.php?wpt=ThunderHi"">Thunder Hill Shelter</a><a href=""http://1.bp.blogspot.com/_F-i_aUsLFAU/SpNFVWHi3NI/AAAAAAAAEXk/x-AJZa6EuGc/s400/82209+016.jpg"">pic</a>"
" Lower BRP mp 74.9 ","0.7617E3","0.1E1","0.365E4","-0.31E3"," None ",""
" Thunder Ridge Overlook, BRP ","0.7621E3","0.4E0","0.3501E4","-0.149E3"," None ","<a href=""http://www.mtnlion.org/web_images/at2_063.jpg"">Thunder Ridge Overlook, BRP</a>"
" Harrison Ground Spring ","0.764E3","0.19E1","0.32E4","-0.301E3"," W ",""
" Petites Gap, USFS 35 ","0.7654E3","0.14E1","0.2369E4","-0.831E3"," None ","<a href=""http://www.mtnlion.org/web_images/at2_063.jpg"">Petites Gap, USFS 35 </a>"
" High Cock Knob ","0.7666E3","0.12E1","0.3073E4","0.704E3"," None ","<a href=""http://www.flickr.com/photos/31286567@N03/3525174771/"">High Cock Knob</a>"
" Marble Spring ","0.7676E3","0.1E1","0.229E4","-0.783E3"," C,W ","<a href=""http://img.groundspeak.com/waymarking/display/c232ca1e-d57d-4c3c-8547-d30441311203.JPG"">Marble Spring</a>"
