"name","springdist","distprev","elevation","elevationdiff","elevationloss","elevationgain","shelterdist","amenities"
"Pochuck Mountain Shelter","1320.69","10.97","269.44","-87.34","-3.56","1.29","0.07","0.07 mi from trail. Campground, Water from hand pump located 0.4 mile to the south on AT, at crossing of Wallkil"
"Wawayanda Shelter","1332.77","12.08","359.66","90.22","-0.01","1.29","0.05","0.05 mi from trail. Campground, For water go 0.1 mi north on AT, then 0.3 mi E on blue-blazed tr to Wawayanda St"
"Wildcat Shelter","1344.6","11.83","333.57","-26.09","-0.01","1.16","0.06","0.06 mi from trail. Campground, Spring, well and hand pump; pump operational April to November, only; privy, fir"
"Fingerboard Shelter","1358.28","13.68","412.74","79.17","0.0","2.41","0.05","0.05 mi from trail. Campground, No water; water from Lake Tiorati 0.5 mi east, or faucet (summer only) at Tiorat"
"William Brien Memorial Shelter","1363.53","5.25","322.04","-90.7","0.0","1.35","0.01","0.01 mi from trail. Campground, AT reaches shelter; spring-fed well is 250 ft to E on blue-blazed trail; may fai"
"West Mountain Shelter","1366.53","3.01","332.23","10.19","0.0","2.93","0.24","0.24 mi from trail. "
"RPH Shelter","1396.19","29.66","109.99","-222.23","-0.36","2.82","0.0","0.0 mi from trail. Campground, Side tr leads E to shelter; water and privy available; located at AT crossing of"
"Morgan Stewart Memorial Shelter","1404.75","8.55","395.47","285.47","-1.16","0.0","0.02","0.02 mi from trail. Campground, Trail from shelter leads downhill 400 ft to a well--gb, 58; privy is 200 ft from"
"Telephone Pioneers Shelter","1411.77","7.03","309.57","-85.9","-4.95","0.0","0.08","0.08 mi from trail. Campground, Water usually available from stream crossed by side trail to shelter--gb, 50"
"Wiley Shelter","1420.39","8.62","229.08","-80.49","-6.28","0.0","0.0","0.0 mi from trail. Campground, At passes in front of Wiley Shelter; water available from pump on AT 0.1 mi N of"
"Ten Mile River Lean-to","1424.34","3.95","80.94","-148.14","-2.88","0.0","0.06","0.06 mi from trail. Campground, Water available at pump 0.1 mi north along the AT at a water pump--gb, 154"
"Mt. Algo Lean-to","1432.46","8.12","198.59","117.65","-1.84","0.0","0.04","0.04 mi from trail. Campground, Water is available near shelter--gb, 151; privy nearby; camping near shelter; no"
"Stewart Hollow Brook Lean-to","1439.67","7.21","124.32","-74.27","-1.09","0.52","0.04","0.04 mi from trail. Campground, Privy nearby, campsites, no fires permitted; water located on AT S of shelter--g"
"Pine Swamp Brook Lean-to","1449.54","9.88","312.88","188.57","-0.26","0.52","0.05","0.05 mi from trail. Campground, Water nearby, privy, several good tent sites--gb, 141"
"Limestone Spring Lean-to","1461.42","11.88","391.73","78.85","-4.03","0.0","0.2","0.2 mi from trail. "
"Riga Lean-to","1468.11","6.69","507.18","115.45","-5.22","0.0","0.22","0.22 mi from trail. "
"Brassie Brook Lean-to","1469.22","1.11","545.01","37.83","-1.45","0.52","0.04","0.04 mi from trail. Campground, Water is at stream on AT N of shelter; privy, picnic table, ample space for tent"
"The Hemlocks Lean-to","1477.7","8.48","586.61","41.6","-7.28","0.52","0.06","0.06 mi from trail. "
"Glen Brook Lean-to","1477.75","0.06","588.85","2.24","-7.28","1.26","0.06","0.06 mi from trail. "
"Tom Leonard Lean-to","1492.09","14.33","493.6","-95.25","0.0","1.36","0.02","0.02 mi from trail. Campground, Tent platforms, privy; spring is on blue-blazed trail below tent platforms--gb,"
"Mt. Wilcox South Lean-to","1497.02","4.93","581.79","88.19","-0.17","0.1","0.05","0.05 mi from trail. Campground, Spring is on side of access trail, 200 ft from AT; another spring 100 yds S on A"
"Mt. Wilcox North Lean-to","1498.8","1.78","628.08","46.28","-1.1","0.0","0.19","0.19 mi from trail. Campground, Poor swampy water supply in nearby brook, may go dry in summer. Privy nearby--gb"
"Upper Goose Pond Cabin","1510.54","11.73","530.28","-97.79","-0.93","12.36","0.41","0.41 mi from trail. Campground, Seasonal"
"October Mountain Lean-to","1520.9","10.36","593.69","63.4","0.0","13.22","0.0","0.0 mi from trail. Campground, Twelve-person shelter has loft and porch; outhouse nearby--gb, 76"
"Kay Wood Lean-to","1529.37","8.47","564.35","-29.34","-3.65","0.86","0.13","0.13 mi from trail. Campground, Water source is intermittent brook within sight down a steep bank; a privy is ne"
"Mark Noepel Lean-to","1545.33","15.96","849.33","284.99","-3.65","0.72","0.1","0.1 mi from trail. Campground, Two tent platforms, fire pit, privy, and an intermittent spring are nearby--gb,"
"Deer Hill Lean-to","1546.85","1.52","956.49","107.16","-2.96","0.72","0.61","0.61 mi from trail. Campground, Not on A.T. (1-mile away)"
"Pecks Brook Lean-to","1547.73","0.88","944.11","-12.38","-3.39","0.0","0.6","0.6 mi from trail. Campground, Not on A.T. (1-mile away)"
"Bascom Lodge","1548.41","0.67","1045.59","101.48","-0.43","7.75","0.02","0.02 mi from trail. Campground, Alt. 3491'; on summit of Mt Greylock, AT passes War Memorial Tower and Bascom Lo"
"Bellows Pipe Lean-to","1549.24","0.83","936.79","-108.8","-0.2","7.75","0.29","0.29 mi from trail. Campground, Not on A.T. (1-mile away)"
"Wilbur Clearing Lean-to","1552.0","2.76","704.62","-232.16","-4.57","0.0","0.13","0.13 mi from trail. "
"Seth Warner Shelter","1561.71","9.71","671.5","-33.13","-4.38","1.79","0.15","0.15 mi from trail. Campground, Water from brook 350 ft west (may fail in dry seasons)--gb, 213"
"Congdon Shelter","1568.56","6.85","644.68","-26.82","0.0","1.79","0.0","0.0 mi from trail. Campground, AT reaches Congdon Shelter, with water available from nearby brook--gb, 218"
"Melville Nauheim Shelter","1574.07","5.51","742.66","97.98","-0.2","0.0","0.04","0.04 mi from trail. Campground, Water available from stream where side trail leaves AT--gb, 206"
"Goddard Shelter","1582.35","8.28","1097.83","355.17","-0.38","0.0","0.0","0.0 mi from trail. Campground, AT reaches Goddard Shelter, with spring 40 ft from shelter on AT--gb, 210"
"Kid Gore Shelter","1586.25","3.89","860.79","-237.03","-21.77","0.0","0.15","0.15 mi from trail. "
"Caughnawaga Shelter","1586.31","0.06","847.53","-13.26","-30.82","0.0","0.03","0.03 mi from trail. Campground, Caughnawaga Shelter is on AT (250 ft N of side trail to Kid Gore Shelter) water"
"Story Spring Shelter","1590.54","4.23","838.73","-8.8","-9.22","0.05","0.0","0.0 mi from trail. Campground, AT reaches Story Spring Shelter; spring is beside AT, 150 ft N of shelter--gb, 2"
"Stratton Pond Shelter","1600.59","10.05","799.59","-39.14","-2.53","0.05","0.21","0.21 mi from trail. "
"South Bourn Pond Shelter","1602.34","1.75","693.91","-105.68","-2.53","5.1","1.97","1.97 mi from trail. Campground, Not on A.T."
"William B. Douglas Shelter","1604.78","2.44","715.0","21.09","0.0","5.1","0.21","0.21 mi from trail. "
"Spruce Peak Shelter","1608.17","3.39","680.77","-34.23","-1.06","0.0","0.06","0.06 mi from trail. Campground, Spring is 100 ft south of shelter; batch-bin composting toilet--gb, 199"
"Peru Peak Shelter","1620.28","12.11","806.51","125.74","-4.92","0.0","0.0","0.0 mi from trail. Campground, AT reaches Peru Peak Shelter; water available from adjacent brook--gb, 195; a fe"
"Old Job Shelter","1626.08","5.8","499.28","-307.23","-4.97","0.0","0.87","0.87 mi from trail. Campground, Off of Old Job Trail"
"Big Branch Shelter","1626.42","0.34","462.51","-36.77","-1.11","0.02","0.0","0.0 mi from trail. Campground, AT reaches Big Branch Shelter; water available from stream--gb, 196"
"Lula Tye Shelter","1629.4","2.99","563.13","100.62","-8.5","0.02","0.01","0.01 mi from trail. Campground, Caretaker in residence (fee)--gb, 183; Water from spring is located 0.3 mi N of"
"Little Rock Pond Shelter","1630.1","0.7","573.03","9.9","-8.5","0.11","0.01","0.01 mi from trail. Campground, Caretaker in residence, fee, moldering privy--gb, 182; spring 0.4 mi S on AT--gb"
"Greenwall Shelter","1634.18","4.08","579.68","6.65","-6.88","0.11","0.38","0.38 mi from trail. Campground, CK RELO MENTIONED IN GB OVER BEAR MTN, AT MILE 7.0--GB, 187"
"Minerva Hinchey Shelter","1638.86","4.68","492.87","-86.81","-7.29","0.0","0.03","0.03 mi from trail. "
"Clarendon Shelter","1642.51","3.65","381.28","-111.59","-1.38","0.0","0.06","0.06 mi from trail. "
"Governor Clement Shelter","1648.32","5.81","580.0","198.72","-0.97","0.05","0.01","0.01 mi from trail. "
"Cooper Lodge","1652.4","4.08","1171.86","591.86","-1.7","0.05","0.0","0.0 mi from trail. "
"Pico Camp Shelter","1655.12","2.72","1077.61","-94.25","-1.7","4.8","0.26","0.26 mi from trail. "
"Tucker Johnson Shelter","1659.21","4.09","643.08","-434.53","-5.42","4.8","0.29","0.29 mi from trail. "
"Gifford Woods State Park","1661.49","2.28","498.23","-144.85","-6.34","0.0","0.08","0.08 mi from trail. "
"Stony Brook Shelter","1668.02","6.53","541.51","43.27","-1.2","0.0","0.03","0.03 mi from trail. "
"Wintturi Shelter","1676.86","8.85","621.39","79.88","-4.53","0.0","0.13","0.13 mi from trail. "
"Cloudland Shelter","1687.67","10.8","494.45","-126.94","-4.25","0.83","0.3","0.3 mi from trail. Campground, Is this still standing?"
"Thistle Hill Shelter","1689.2","1.54","480.11","-14.34","-0.36","0.83","0.11","0.11 mi from trail. Campground, Formally Cloudland Shelter (1995) according to A.T. map"
"Happy Hill Shelter","1698.42","9.22","426.78","-53.33","-1.3","0.0","0.08","0.08 mi from trail. Campground, Also called Happy Hill Cabin"
"Velvet Rocks Shelter","1705.89","7.47","267.68","-159.1","-1.53","0.0","0.11","0.11 mi from trail. "
"Moose Mountain Shelter","1714.33","8.44","655.4","387.72","-1.92","0.0","0.15","0.15 mi from trail. "
"Trapper John Shelter","1719.28","4.94","444.17","-211.23","-11.0","0.0","0.17","0.17 mi from trail. "
"Smarts Mountain Cabin","1725.15","5.87","965.1","520.92","-17.5","0.0","0.04","0.04 mi from trail. Campground, Old Firewarden Cabin offers shelter"
"Hexacuba Shelter","1729.77","4.62","595.38","-369.72","-7.83","15.93","0.06","0.06 mi from trail. "
"Ore Hill Shelter","1739.74","9.97","504.08","-91.29","0.0","17.6","0.08","0.08 mi from trail. "
"Jeffers Brook Shelter","1744.56","4.82","399.94","-104.15","0.0","2.34","0.04","0.04 mi from trail. "
"Beaver Brook Shelter","1750.74","6.17","1153.02","753.09","-7.0","0.68","0.04","0.04 mi from trail. "
"Eliza Brook Campsite Shelter","1758.7","7.97","730.08","-422.94","-7.0","1.07","0.02","0.02 mi from trail. "
"Kinsman Pond Campsite Shelter","1762.09","3.39","1127.59","397.51","0.0","2.67","0.08","0.08 mi from trail. Campground, Shelter at Kinsman Pond Campsite"
"Lonesome Lake Hut","1763.79","1.71","834.0","-293.59","0.0","1.59","0.02","0.02 mi from trail. "
"Greenleaf Hut","1772.41","8.62","1571.55","737.55","0.0","1.4","0.78","0.78 mi from trail. "
"Garfield Ridge Campsite Shelter","1775.68","3.27","1184.28","-387.27","-9.82","1.4","0.06","0.06 mi from trail. Campground, Shelter at Garfield Ridge Campsite"
"Galehead Hut","1778.11","2.43","1147.47","-36.81","-9.82","2.57","0.03","0.03 mi from trail. "
"Guyot Campsite Shelter","1780.72","2.6","1383.94","236.47","0.0","2.96","0.5","0.5 mi from trail. Campground, Shelter at Guyot Campsite"
"Zealand Falls Hut","1784.35","3.63","771.26","-612.68","-3.84","0.38","0.0","0.0 mi from trail. "
"Ethan Pond Campsite Shelter","1789.03","4.68","879.71","108.45","-3.84","0.35","0.11","0.11 mi from trail. Campground, Shelter at Ethan Pond Campsite"
"Crawford Notch Hostel","1797.04","8.0","1121.37","241.67","0.0","1.0","1.74","1.74 mi from trail. "
"Mizpah Spring Hut","1797.45","0.41","1186.36","64.99","0.0","6.69","0.01","0.01 mi from trail. "
"Lake of the Clouds Hut","1801.99","4.55","1541.96","355.6","-1.32","6.04","0.02","0.02 mi from trail. "
"Hermit Lake Shelter (1 of 2)","1802.73","0.74","1670.48","128.53","-1.32","1.35","1.13","1.13 mi from trail. "
"Hermit Lake Shelter (2 of 2)","1802.73","0.0","1670.48","0.0","0.0","2.71","1.15","1.15 mi from trail. "
"The Perch Shelter","1807.09","4.36","1618.3","-52.18","0.0","3.99","0.6","0.6 mi from trail. "
"Gray Knob","1807.74","0.65","1613.71","-4.59","-2.65","2.64","0.99","0.99 mi from trail. "
"Crag Camp","1807.93","0.18","1545.56","-68.15","-5.15","0.0","0.89","0.89 mi from trail. "
"Madison Spring Hut","1808.49","0.57","1474.99","-70.57","-2.5","2.23","0.01","0.01 mi from trail. Campground, Called Madison Spring Hut in the Companion"
"Carter Notch Hut","1820.37","11.87","1029.01","-445.98","0.0","6.65","0.06","0.06 mi from trail. "
"Imp Campsite Shelter","1827.04","6.68","976.43","-52.58","-2.03","4.42","0.08","0.08 mi from trail. Campground, Shelter at Imp Campsite"
"Rattle River Shelter","1832.23","5.19","411.7","-564.73","-4.84","0.0","0.0","0.0 mi from trail. "
"Gentian Pond Campsite Shelter","1844.22","11.99","653.08","241.38","-8.03","0.0","0.01","0.01 mi from trail. Campground, Shelter at Gentian Pond Campsite"
"Carlo Col Shelter","1848.46","4.24","952.78","299.69","-5.22","9.53","0.18","0.18 mi from trail. "
"Full Goose Shelter","1852.14","3.68","928.79","-23.98","-7.71","9.53","0.08","0.08 mi from trail. "
"Speck Pond Shelter","1855.95","3.81","1067.84","139.04","-7.71","0.98","0.07","0.07 mi from trail. Campground, Shelter at Speck Pond Campsite"
"Baldpate Lean-to","1861.75","5.79","824.2","-243.64","0.0","8.88","0.17","0.17 mi from trail. Campground, Baldpate Lean-to is near small stream at base of steep slope; water from nearby"
"Frye Notch Lean-to","1864.97","3.22","723.76","-100.44","0.0","23.02","0.03","0.03 mi from trail. Campground, Frye Notch Lean-to is next to Frye Brook; water from stream or small spring--gm7"
"Hall Mountain Lean-to","1874.46","9.49","804.39","80.63","-3.04","15.12","0.0","0.0 mi from trail. Campground, Water from spring or small spring--gm7; a spring is south of the shelter--2000 C"
"Bemis Mountain Lean-to","1886.5","12.04","875.51","71.12","-5.23","0.0","0.05","0.05 mi from trail. Campground, AT reaches Bemis Mountain Lean-to; water from small stream--gm7"
"Sabbath Day Pond Lean-to","1894.46","7.97","725.6","-149.91","-2.19","0.7","0.04","0.04 mi from trail. Campground, Water from pond; excellent swimming at sand beach on Long Pond, 0.3 mi S via AT-"
"Piazza Rock Lean-to","1905.31","10.85","633.76","-91.84","0.0","1.15","0.0","0.0 mi from trail. "
"Popular Ridge Lean-to","1912.93","7.62","901.6","267.84","0.0","16.06","0.03","0.03 mi from trail. "
"Spaulding Mountain Lean-to","1920.03","7.11","955.7","54.1","0.0","16.52","0.03","0.03 mi from trail. "
"Horns Pond Lean-tos","1935.79","15.76","977.46","21.76","0.0","5.66","0.02","0.02 mi from trail. Campground, Two lean-tos"
"Little Bigelow Lean-to","1945.04","9.25","421.55","-555.91","-5.22","4.75","0.52","0.52 mi from trail. "
"West Carry Pond Lean-to","1951.46","6.42","407.28","-14.27","-5.22","0.3","0.03","0.03 mi from trail. Campground, AT reaches West Carry Pond Lean-to and tent sites; water from pond; swimming in"
"Pierce Pond Lean-to","1961.18","9.72","350.79","-56.49","0.0","0.37","0.04","0.04 mi from trail. Campground, Pierce Pond Lean-to is on an arm of Pierce Pond--gm5"
"Pleasant Pond Lean-to","1970.74","9.56","409.95","59.16","-1.0","0.07","0.09","0.09 mi from trail. Campground, Trail continues past lean-to to pond beach. This is the last water source (brook"
"Bald Mountain Brook Lean-to","1979.05","8.31","395.55","-14.4","-1.0","1.1","0.03","0.03 mi from trail. Campground, Water from nearby brook; tent sites at site of old logging camp near brook--gm 4"
"Moxie Bald Lean-to","1983.02","3.97","379.2","-16.35","0.0","1.1","0.04","0.04 mi from trail. Campground, Water from pond; swimming in pond--gm4"
"Horseshoe Canyon Lean-to","1991.54","8.52","261.75","-117.45","-3.11","0.0","0.01","0.01 mi from trail. Campground, Water from stream; slate canyon along AT--gm4"
"Leeman Brook Lean-to","2003.26","11.72","333.22","71.47","-4.55","0.0","0.01","0.01 mi from trail. Campground, Water from brook--gm3"
"Wilson Valley Lean-to","2010.47","7.21","304.88","-28.34","-1.43","0.37","0.07","0.07 mi from trail. Campground, AT reaches short side trail to Wilson Valley Lean-to; water from small spring--g"
"Long Pond Stream Lean-to","2014.98","4.51","266.96","-37.92","0.0","3.15","0.09","0.09 mi from trail. Campground, Water from small tributary of Long Pond Stream. Scenic Slugundy Gorge and Falls"
"Cloud Pond Lean-to","2018.8","3.82","753.16","486.2","0.0","3.37","0.18","0.18 mi from trail. Campground, Located 0.3 mi. from AT on a side trail. Water from pond or spring--GM3"
"Chairback Gap Lean-to","2024.94","6.14","603.58","-149.59","-3.93","0.59","0.02","0.02 mi from trail. Campground, AT reaches Chairback Gap; spring on short side trail; Chairback Gap Lean-to is 1"
"Carl A. Newhall Lean-to","2034.82","9.89","578.97","-24.61","-3.93","0.12","0.02","0.02 mi from trail. Campground, Water from Gulf Hagas Brook--gm2"
"Logan Brook Lean-to","2041.74","6.92","728.85","149.88","0.0","2.9","0.01","0.01 mi from trail. Campground, AT reaches shelter located in a ravine between two shoulders of White Cap Mounta"
"East Branch Lean-to","2045.41","3.66","377.0","-351.85","0.0","2.78","0.01","0.01 mi from trail. Campground, AT reaches East Br Lean-to w/ side tr to former site of old logging dam on river"
"Cooper Brook Falls Lean-to","2053.29","7.89","296.26","-80.74","-0.8","0.0","0.02","0.02 mi from trail. Campground, Water from brook; beautiful cascades immediately upstream; good swimming--gm2"
"Potaywadjo Spring Lean-to","2064.4","11.1","194.27","-101.99","-1.58","0.0","0.02","0.02 mi from trail. Campground, Water from nearby bubbling spring 15 ft in diameter--gm2"
"Wadleigh Stream Lean-to","2074.13","9.73","215.94","21.67","-0.78","3.73","0.01","0.01 mi from trail. Campground, AT reaches Wadleigh Stream Lean-to; water from stream--gm1"
"Rainbow Stream Lean-to","2081.77","7.65","308.81","92.88","0.0","4.03","0.0","0.0 mi from trail. Campground, AT reaches Rainbow Stream Lean-to; water from stream; excellent swimming holes--"
"Hurd Brook Lean-to","2091.94","10.17","217.36","-91.46","0.0","1.39","0.01","0.01 mi from trail. Campground, Water"
"The Birches Shelters","2104.36","12.43","322.86","105.51","-2.33","1.09","0.35","0.35 mi from trail. Campground, Designated shelters for thru-hikers only!"
