"name","springdist","distprev","elevation","elevationdiff","amenities"
" spring ","0.4339E3","0.38E1","0.39E4","0.28E3"," W "
" Turkeypen Gap ","0.4353E3","0.14E1","0.384E4","-0.6E2"," None "
" spring ","0.4367E3","0.14E1","0.4E4","0.16E3"," W "
" Iron Mt. Shelter (pic) ","0.4369E3","0.2E0","0.4125E4","0.125E3"," S,NO water "
" Nick Grindstaff Monument ","0.4382E3","0.13E1","0.409E4","-0.35E2"," None "
" spring ","0.4383E3","0.1E0","0.0","-0.409E4"," W "
" stream ","0.4407E3","0.24E1","0.0","0.0"," W "
" TN 91 (Osborn Farm) ","0.4415E3","0.8E0","0.345E4","0.345E4"," None "
" campsite ","0.4436E3","0.21E1","0.399E4","0.54E3"," C,W "
" Double Springs Shelter (pic) ","0.4445E3","0.9E0","0.406E4","0.7E2"," S,W "
" Low Gap, US 421 ","0.448E3","0.35E1","0.3384E4","-0.676E3"," W "
" Double Spring Gap ","0.4499E3","0.19E1","0.365E4","0.266E3"," W "
" McQueens Knob ","0.4513E3","0.14E1","0.39E4","0.25E3"," None "
" McQueens Gap, USFS 69 ","0.4517E3","0.4E0","0.368E4","-0.22E3"," None "
" Abingdon Gap Shelter (pic) ","0.4528E3","0.11E1","0.3785E4","0.105E3"," S,W "
" TN-VA State Line ","0.4593E3","0.65E1","0.3302E4","-0.483E3"," None "
" spring ","0.4609E3","0.16E1","0.26E4","-0.702E3"," W "
" Damascus, VA ","0.463E3","0.21E1","0.1928E4","-0.672E3"," L,R,G,O,Cl,Sh "
" Creeper Trail, US 58 ","0.4641E3","0.11E1","0.1928E4","0.0"," None "
" Iron Mt. Trail ","0.4665E3","0.24E1","0.285E4","0.922E3"," None "
" Straight Branch, US 58 ","0.4686E3","0.21E1","0.22E4","-0.65E3"," W "
" stream ","0.4699E3","0.13E1","0.249E4","0.29E3"," W "
" Taylors Valley side trail ","0.4706E3","0.7E0","0.285E4","0.36E3"," None "
" Straight Mt. ","0.4721E3","0.15E1","0.35E4","0.65E3"," None "
" Saunders Shelter (pic) ","0.4724E3","0.3E0","0.331E4","-0.19E3"," S,W "
" stream ","0.4735E3","0.11E1","0.315E4","-0.16E3"," W "
" Beartree Gap Trail ","0.4746E3","0.11E1","0.305E4","-0.1E3"," None "
" campsite ","0.4748E3","0.2E0","0.416E4","0.111E4"," C,W "
" VA 728 ","0.4766E3","0.18E1","0.272E4","-0.144E4"," None "
" Creeper Trail, Whitetop Laurel Creek ","0.477E3","0.4E0","0.269E4","-0.3E2"," None "
" VA 859 (Grassy Ridge Rd.) ","0.4776E3","0.6E0","0.29E4","0.21E3"," None "
" Lost Mt. Shelter (pic) ","0.4788E3","0.12E1","0.336E4","0.46E3"," S,W "
" US 58, Summit Cut ","0.4799E3","0.11E1","0.316E4","-0.2E3"," None "
" VA 601 (Beech Mt. Rd.) ","0.4811E3","0.12E1","0.36E4","0.44E3"," W "
" Buzzard Rock, Whitetop Mt. ","0.4836E3","0.25E1","0.508E4","0.148E4"," None "
" spring ","0.4841E3","0.5E0","0.51E4","0.2E2"," W "
" Whitetop Mt. Rd. ","0.4843E3","0.2E0","0.515E4","0.5E2"," C,W "
" VA 600, Elk Garden ","0.4868E3","0.25E1","0.4434E4","-0.716E3"," None "
" Deep Gap ","0.4888E3","0.2E1","0.49E4","0.466E3"," W "
" Mt. Rogers summit spur ","0.4906E3","0.18E1","0.549E4","0.59E3"," None "
" Thomas Knob Shelter (pic) ","0.491E3","0.4E0","0.54E4","-0.9E2"," S,W "
" Rhododendron Gap ","0.4918E3","0.8E0","0.544E4","0.4E2"," None "
" Wilburn Ridge ","0.4931E3","0.13E1","0.49E4","-0.54E3"," None "
" Massie Gap ","0.4939E3","0.8E0","0.48E4","-0.1E3"," C*,G*,Sh* "
" Wise Shelter (pic) ","0.4961E3","0.22E1","0.446E4","-0.34E3"," S,W,C*,G*,Sh* "
" Big Wilson Creek ","0.4964E3","0.3E0","0.43E4","-0.16E3"," C,W "
" spring ","0.4974E3","0.1E1","0.461E4","0.31E3"," W "
" Stone Mt. ","0.4986E3","0.12E1","0.482E4","0.21E3"," None "
" Pine Mt. ","0.5003E3","0.17E1","0.5E4","0.18E3"," None "
" Scales ","0.4998E3","-0.5E0","0.465E4","-0.35E3"," None "
" Old Orchard Shelter (pic) ","0.502E3","0.22E1","0.405E4","-0.6E3"," S,W "
" VA 603, Fox Creek ","0.5037E3","0.17E1","0.348E4","-0.57E3"," C,W "
" Hurricane Mt. ","0.5057E3","0.2E1","0.432E4","0.84E3"," None "
" Iron Mt. Trail, Chestnut Flats ","0.506E3","0.3E0","0.424E4","-0.8E2"," None "
" stream","0.5063E3","0.3E0","0.3E4","-0.124E4"," W"
" Hurricane Mt. Shelter (pic) ","0.507E3","0.7E0","0.43E4","0.13E4"," S,W "
" stream ","0.5084E3","0.14E1","0.3E4","-0.13E4"," W "
" Hurricane Campground Trail ","0.5101E3","0.17E1","0.309E4","0.9E2"," C,W,Sh "
" Comers Creek ","0.511E3","0.9E0","0.31E4","0.1E2"," W "
" Dickey Gap, VA 650 & 16 ","0.5122E3","0.12E1","0.33E4","0.2E3"," None "
" spring ","0.5137E3","0.15E1","0.357E4","0.27E3"," W "
" High Point ","0.5143E3","0.6E0","0.404E4","0.47E3"," None "
" Trimpi Shelter (pic) ","0.5161E3","0.18E1","0.29E4","-0.114E4"," S,W "
" VA 672 ","0.5176E3","0.15E1","0.27E4","-0.2E3"," None "
" VA 670 ","0.5189E3","0.13E1","0.245E4","-0.25E3"," None "
" VA 601 ","0.5227E3","0.38E1","0.325E4","0.8E3"," None "
" Partnership Shelter (pic) ","0.5267E3","0.4E1","0.336E4","0.11E3"," S,W,Sh "
" Mt. Rogers NRA Headquarters ","0.5268E3","0.1E0","0.322E4","-0.14E3"," None "
" VA 622 ","0.5275E3","0.7E0","0.327E4","0.5E2"," None "
" Brushy Mt. ","0.528E3","0.5E0","0.36E4","0.33E3"," None "
" Locust Mt. ","0.5305E3","0.25E1","0.39E4","0.3E3"," None "
" USFS 86 ","0.5309E3","0.4E0","0.365E4","-0.25E3"," C,W "
" Glade Mt. ","0.5318E3","0.9E0","0.39E4","0.25E3"," None "
" Chatfield Shelter (pic) ","0.5338E3","0.2E1","0.315E4","-0.75E3"," S,W "
" USFS 644 ","0.5341E3","0.3E0","0.31E4","-0.5E2"," None "
" VA 615, Settlers Museum ","0.5356E3","0.15E1","0.265E4","-0.45E3"," None "
" VA 729 ","0.5361E3","0.5E0","0.27E4","0.5E2"," None "
" I-81 Crossing ","0.5383E3","0.22E1","0.242E4","-0.28E3"," L,R,G,Cl,Sh "
" VA 617 ","0.5394E3","0.11E1","0.258E4","0.16E3"," None "
" spring ","0.5401E3","0.7E0","0.261E4","0.3E2"," W "
" Davis Path Campsite ","0.541E3","0.9E0","0.284E4","0.23E3"," C "
" Guillon (Little Brushy) Mt. ","0.5435E3","0.25E1","0.33E4","0.46E3"," None "
" Crawfish Valley ","0.5446E3","0.11E1","0.26E4","-0.7E3"," C,W "
" Big Walker Mt. ","0.5463E3","0.17E1","0.35E4","0.9E3"," None "
" VA 610 ","0.5477E3","0.14E1","0.27E4","-0.8E3"," None "
" VA 42 ","0.5501E3","0.24E1","0.265E4","-0.5E2"," W "
" Brushy Mt. ","0.551E3","0.9E0","0.32E4","0.55E3"," None "
" Knot Maul Branch Shelter (pic) ","0.5523E3","0.13E1","0.288E4","-0.32E3"," S,(NO water) "
" spring ","0.5524E3","0.1E0","0.281E4","-0.7E2"," W "
" Lynn Camp Creek ","0.5534E3","0.1E1","0.24E4","-0.41E3"," W "
" Lynn Camp Mt. ","0.5542E3","0.8E0","0.3E4","0.6E3"," None "
" USFS 222 ","0.5576E3","0.34E1","0.238E4","-0.62E3"," None "
" spring ","0.5595E3","0.19E1","0.38E4","0.142E4"," W "
" Chestnut Knob Shelter (pic) ","0.5613E3","0.18E1","0.4409E4","0.609E3"," S,(NO water) "
" Walker Gap ","0.5626E3","0.13E1","0.352E4","-0.889E3"," W "
" VA 623, Garden Mt. ","0.5675E3","0.49E1","0.388E4","0.36E3"," None "
" Davis Farm Campsite ","0.5683E3","0.8E0","0.385E4","-0.3E2"," C,W "
" Jenkins Shelter (pic) ","0.5713E3","0.3E1","0.25E4","-0.135E4"," S,W "
" Brushy Mt. ","0.5755E3","0.42E1","0.308E4","0.58E3"," None "
" VA 615, Laurel Creek ","0.5761E3","0.6E0","0.245E4","-0.63E3"," C,W "
" US 21/52 ","0.583E3","0.69E1","0.29E4","0.45E3"," None "
" I-77 Crossing ","0.5832E3","0.2E0","0.275E4","-0.15E3"," None "
" VA 612, Kimberling Creek ","0.5838E3","0.6E0","0.27E4","-0.5E2"," W "
" Helveys Mill Shelter (pic) ","0.5853E3","0.15E1","0.309E4","0.39E3"," S,We "
" VA 611 ","0.592E3","0.67E1","0.282E4","-0.27E3"," None "
" Brushy Mt. ","0.5934E3","0.14E1","0.3101E4","0.281E3"," None "
" Jenny Knob Shelter (pic) ","0.5951E3","0.17E1","0.28E4","-0.301E3"," S,W "
" VA 608, Crandon ","0.5963E3","0.12E1","0.22E4","-0.6E3"," None "
" Brushy Mt. ","0.5996E3","0.33E1","0.29E4","0.7E3"," None "
" Kimberling Creek Suspension Bridge ","0.6015E3","0.19E1","0.209E4","-0.81E3"," None "
" VA 606 ","0.6016E3","0.1E0","0.21E4","0.1E2"," None "
" Dismal Creek Falls ","0.6035E3","0.19E1","0.232E4","0.22E3"," None "
" White Pine Horse Campground ","0.6074E3","0.39E1","0.24E4","0.8E2"," C,W "
" stream ","0.6078E3","0.4E0","0.25E4","0.1E3"," W "
" Wapiti Shelter (pic) ","0.6093E3","0.15E1","0.264E4","0.14E3"," S,W "
" Ribble Trail, north jct. ","0.6138E3","0.45E1","0.38E4","0.116E4"," W "
" Big Horse Gap, USFS 103 ","0.6139E3","0.1E0","0.38E4","0.0"," None "
" Sugar Run Gap, VA 663 ","0.6155E3","0.16E1","0.345E4","-0.35E3"," L "
" Doc’s Knob Shelter (pic) ","0.6177E3","0.22E1","0.3555E4","0.105E3"," S,W "
" campsite, spring ","0.6229E3","0.52E1","0.375E4","0.195E3"," C,W "
" Pearis Mt. (Angels Rest) ","0.6234E3","0.5E0","0.355E4","-0.2E3"," None "
" VA 634 ","0.6254E3","0.2E1","0.22E4","-0.135E4"," None "
" Lane St, Pearisburg, VA ","0.6259E3","0.5E0","0.165E4","-0.55E3"," L,G,Sh,R*,Cl* "
" US 460, New River ","0.6264E3","0.5E0","0.16E4","-0.5E2"," None "
" VA 641 (Clendennin Rd.) ","0.6279E3","0.15E1","0.175E4","0.15E3"," None "
" spring ","0.6301E3","0.22E1","0.325E4","0.15E4"," C,W "
" Rice Field Shelter (pic) ","0.6327E3","0.26E1","0.3375E4","0.125E3","S,W "
" campsite ","0.6343E3","0.16E1","0.33E4","-0.75E2"," C,W "
" Symms Gap Meadow ","0.6378E3","0.35E1","0.332E4","0.2E2"," C,W "
" Groundhog Trail ","0.6388E3","0.1E1","0.34E4","0.8E2"," None "
" Dickinson Gap ","0.6403E3","0.15E1","0.33E4","-0.1E3"," None "
" Peters Mt. ","0.6425E3","0.22E1","0.35E4","0.2E3"," None "
" Allegheny Trail ","0.6427E3","0.2E0","0.0","-0.35E4"," None "
" Pine Swamp Branch Shelter (pic) ","0.6452E3","0.25E1","0.253E4","0.253E4"," S,W "
" VA 635, Stony Creek Valley ","0.6455E3","0.3E0","0.237E4","-0.16E3"," None "
" Dismal Branch ","0.6466E3","0.11E1","0.248E4","0.11E3"," W "
" VA 635, Stony Creek ","0.6476E3","0.1E1","0.245E4","-0.3E2"," W "
" spring ","0.6489E3","0.13E1","0.349E4","0.104E4"," W "
" Bailey Gap Shelter (pic) ","0.6491E3","0.2E0","0.3525E4","0.35E2"," S,W "
" VA 613 ","0.6528E3","0.37E1","0.395E4","0.425E3"," None "
" Wind Rock ","0.653E3","0.2E0","0.41E4","0.15E3"," None "
" campsites ","0.6542E3","0.12E1","0.4E4","-0.1E3"," C,W "
" War Spur Shelter (pic) ","0.6579E3","0.37E1","0.234E4","-0.166E4"," S,W "
" USFS 156, Johns Creek Valley ","0.6587E3","0.8E0","0.208E4","-0.26E3"," W "
" stream ","0.6597E3","0.1E1","0.27E4","0.62E3"," w "
" Rocky Gap, VA 601 ","0.6607E3","0.1E1","0.325E4","0.55E3"," None "
" Laurel Creek Shelter (pic) ","0.6637E3","0.3E1","0.272E4","-0.53E3"," S,W "
" spring ","0.6647E3","0.1E1","0.24E4","-0.32E3"," W "
" VA 42 ","0.6661E3","0.14E1","0.22E4","-0.2E3"," L "
" VA 630, Stinking Creek ","0.667E3","0.9E0","0.21E4","-0.1E3"," W "
" Keffer Oak ","0.6674E3","0.4E0","0.224E4","0.14E3"," None "
" Sarver Hollow Shelter (pic) ","0.6701E3","0.27E1","0.3E4","0.76E3"," S,W "
" Stinking Creek Mt. ","0.6737E3","0.36E1","0.345E4","0.45E3"," None "
" Cabin Branch ","0.6754E3","0.17E1","0.249E4","-0.96E3"," C,W "
" Niday Shelter (pic) ","0.6761E3","0.7E0","0.18E4","-0.69E3"," S,W "
" VA 621, Craig Creek Valley ","0.6774E3","0.13E1","0.154E4","-0.26E3"," None "
" Audie Murphy Monument ","0.6812E3","0.38E1","0.31E4","0.156E4"," None "
" VA 620, Trout Creek ","0.685E3","0.38E1","0.1525E4","-0.1575E4"," W "
" Pickle Branch Shelter (pic) ","0.6862E3","0.12E1","0.1845E4","0.32E3"," S,W "
" Cove Mt, Dragons Tooth ","0.6904E3","0.42E1","0.302E4","0.1175E4"," None "
" Lost Spectacles Gap ","0.6914E3","0.1E1","0.255E4","-0.47E3"," None "
" Rawies Rest ","0.6919E3","0.5E0","0.235E4","-0.2E3"," None "
" VA 624, North Mt. Trail ","0.6929E3","0.1E1","0.181E4","-0.54E3"," R,G "
" VA 785 ","0.6945E3","0.16E1","0.179E4","-0.2E2"," None "
" VA 311, Catawba, VA ","0.6988E3","0.43E1","0.199E4","0.2E3"," C*,R*,G* "
" Johns Spring Shelter (pic) ","0.6998E3","0.1E1","0.198E4","-0.1E2"," S,W "
" Catawba Mt. Shelter (pic) ","0.7008E3","0.1E1","0.258E4","0.6E3"," S,W "
" McAfee Knob ","0.7025E3","0.17E1","0.3197E4","0.617E3"," None "
" Pig Farm Campsite ","0.7031E3","0.6E0","0.3E4","-0.197E3"," C,W "
" Campbell Shelter (pic) ","0.7032E3","0.1E0","0.258E4","-0.42E3"," S,W "
" Brickey’s Gap ","0.7063E3","0.31E1","0.225E4","-0.33E3"," None "
" Tinker Cliffs ","0.7081E3","0.18E1","0.3E4","0.75E3"," None "
" Scorched Earth Gap ","0.7086E3","0.5E0","0.26E4","-0.4E3"," None "
" Lamberts Meadow Shelter (pic) ","0.7092E3","0.6E0","0.208E4","-0.52E3"," S,W "
" Lamberts Meadow Campsite ","0.7095E3","0.3E0","0.2E4","-0.8E2"," C,W "
" Angels Gap ","0.7135E3","0.4E1","0.18E4","-0.2E3"," None "
" Hay Rock, Tinker Ridge ","0.7146E3","0.11E1","0.19E4","0.1E3"," None "
" Tinker Creek ","0.7181E3","0.35E1","0.1165E4","-0.735E3"," None "
" US 220 ","0.7186E3","0.5E0","0.135E4","0.185E3"," L,R,G,O,Cl,Sh* "
" I-81 Crossing ","0.7198E3","0.12E1","0.14E4","0.5E2"," None "
" US 11 ","0.7201E3","0.3E0","0.13E4","-0.1E3"," C*,R*,G* "
" VA 652 ","0.7207E3","0.6E0","0.145E4","0.15E3"," None "
" Fullhardt Knob Shelter (pic) ","0.7236E3","0.29E1","0.267E4","0.122E4"," S,W "
" USFS 191 (Salt Pond Rd.) ","0.7264E3","0.28E1","0.226E4","-0.41E3"," None "
" Curry Creek ","0.7272E3","0.8E0","0.168E4","-0.58E3"," W "
" Wilson Creek ","0.7291E3","0.19E1","0.169E4","0.1E2"," W "
" Wilson Creek Shelter (pic) ","0.7298E3","0.7E0","0.183E4","0.14E3"," S,W "
" spring ","0.7302E3","0.4E0","0.205E4","0.22E3"," W "
" Blackhorse Gap, BRP ","0.7322E3","0.2E1","0.2402E4","0.352E3"," None "
" Taylors Mt. Overlook, BRP ","0.733E3","0.8E0","0.235E4","-0.52E2"," None "
" Montvale Overlook, BRP ","0.7341E3","0.11E1","0.24E4","0.5E2"," None "
" Harveys Knob Overlook, BRP ","0.7347E3","0.6E0","0.255E4","0.15E3"," None "
" Bobblets Gap Shelter ","0.7371E3","0.24E1","0.192E4","-0.63E3"," S,W "
" Sharp Top Overlook, BRP ","0.7378E3","0.7E0","0.235E4","0.43E3"," None "
" Mills Gap Overlook, BRP ","0.7385E3","0.7E0","0.245E4","0.1E3"," None "
" Bearwallow Gap, VA 43 ","0.7403E3","0.18E1","0.2228E4","-0.222E3"," None "
" Cove Mt. ","0.7417E3","0.14E1","0.272E4","0.492E3"," None "
" Little Cove Mt. Trail ","0.7421E3","0.4E0","0.26E4","-0.12E3"," None "
" Cove Mt. Shelter (pic) ","0.7435E3","0.14E1","0.1925E4","-0.675E3"," S,(NO water) "
" Buchanan Trail ","0.7452E3","0.17E1","0.179E4","-0.135E3"," None "
" VA 614, Jennings Creek ","0.7467E3","0.15E1","0.951E3","-0.839E3"," C,W,G*,Cl*,Sh* "
" Fork Mt. ","0.7483E3","0.16E1","0.2042E4","0.1091E4"," None "
" Bryant Ridge Shelter (pic) ","0.7504E3","0.21E1","0.132E4","-0.722E3"," S,W "
" Floyd Mt. ","0.7548E3","0.44E1","0.356E4","0.224E4"," None "
" Cornelius Creek Shelter (pic) ","0.7554E3","0.6E0","0.3145E4","-0.415E3"," S,W "
" Black Rock ","0.7563E3","0.9E0","0.345E4","0.305E3"," None "
" Apple Orchard Falls Trail ","0.758E3","0.17E1","0.325E4","-0.2E3"," None "
" Apple Orchard Mt. ","0.7595E3","0.15E1","0.4225E4","0.975E3"," None "
" The Guillotine ","0.7598E3","0.3E0","0.409E4","-0.135E3"," None "
" Upper BRP mp 76.3 ","0.7604E3","0.6E0","0.39E4","-0.19E3"," None "
" Thunder Hill Shelter (pic) ","0.7607E3","0.3E0","0.396E4","0.6E2"," S,W "
" Lower BRP mp 74.9 ","0.7617E3","0.1E1","0.365E4","-0.31E3"," None "
" Thunder Ridge Overlook, BRP ","0.7621E3","0.4E0","0.3501E4","-0.149E3"," None "
" Harrison Ground Spring ","0.764E3","0.19E1","0.32E4","-0.301E3"," W "
" Petites Gap, USFS 35 ","0.7654E3","0.14E1","0.2369E4","-0.831E3"," None "
" High Cock Knob ","0.7666E3","0.12E1","0.3073E4","0.704E3"," None "
" Marble Spring ","0.7676E3","0.1E1","0.229E4","-0.783E3"," C,W "
" Sulphur Spring Trail ","0.7681E3","0.5E0","0.24E4","0.11E3"," None "
" Belfast Trail, Hickory Stand ","0.7699E3","0.18E1","0.265E4","0.25E3"," None "
" Sulphur Spring Trail ","0.7704E3","0.5E0","0.2588E4","-0.62E2"," None "
" Big Cove Branch ","0.7712E3","0.8E0","0.189E4","-0.698E3"," W "
" Matts Creek Shelter (pic) ","0.7731E3","0.19E1","0.835E3","-0.1055E4"," S,W "
" campsite ","0.7739E3","0.8E0","0.7E3","-0.135E3"," C,W "
" James River foot bridge ","0.7751E3","0.12E1","0.678E3","-0.22E2"," None "
" US 501/VA 130 ","0.7753E3","0.2E0","0.68E3","0.2E1"," None "
" Lower Rocky Row Run bridge ","0.7754E3","0.1E0","0.67E3","-0.1E2"," W "
" Rocky Row Run ","0.7763E3","0.9E0","0.76E3","0.9E2"," C,W "
" VA 812/USFS 36 ","0.7764E3","0.1E0","0.825E3","0.65E2"," None "
" Johns Hollow Shelter (pic) ","0.777E3","0.6E0","0.102E4","0.195E3"," S,W "
" Rocky Row Trail ","0.779E3","0.2E1","0.24E4","0.138E4"," None "
" Fullers Rocks ","0.7791E3","0.1E0","0.2472E4","0.72E2"," None "
" Big Rocky Row ","0.7801E3","0.1E1","0.2992E4","0.52E3"," None "
" Saddle Gap ","0.7816E3","0.15E1","0.26E4","-0.392E3"," None "
" Saltlog Gap ","0.7827E3","0.11E1","0.2573E4","-0.27E2"," None "
" Bluff Mt. ","0.7842E3","0.15E1","0.3372E4","0.799E3"," None "
" Punchbowl Mt. ","0.7853E3","0.11E1","0.285E4","-0.522E3"," None "
" Punchbowl Shelter (pic) ","0.7858E3","0.5E0","0.25E4","-0.35E3"," S,W "
" Punchbowl Mt. Crossing, BRP ","0.7862E3","0.4E0","0.217E4","-0.33E3"," W "
" VA 607 (Robinson Gap Rd.) ","0.7865E3","0.3E0","0.21E4","-0.7E2"," None "
" Rice Mt. ","0.7884E3","0.19E1","0.2228E4","0.128E3"," None "
" USFS 39, Pedlar River ","0.7903E3","0.19E1","0.99E3","-0.1238E4"," None "
" Pedlar Lake Rd. ","0.7933E3","0.3E1","0.1E4","0.1E2"," None "
" Brown Mt. Creek Shelter (pic) ","0.7953E3","0.2E1","0.1395E4","0.395E3"," S,W "
" US 60 ","0.7971E3","0.18E1","0.2065E4","0.67E3"," None "
" Bald Knob ","0.7999E3","0.28E1","0.4059E4","0.1994E4"," None "
" Cow Camp Gap Shelter (pic) ","0.8009E3","0.1E1","0.316E4","-0.899E3"," S*,W* "
" Cold Mt. ","0.8021E3","0.12E1","0.4022E4","0.862E3"," None "
" Hog Camp Gap, USFS 48 ","0.8034E3","0.13E1","0.3485E4","-0.537E3"," C,W "
" Tar Jacket Ridge ","0.8043E3","0.9E0","0.3847E4","0.362E3"," None "
" Salt Log Gap, USFS 63 ","0.8056E3","0.13E1","0.3257E4","-0.59E3"," None "
" USFS 246 ","0.8068E3","0.12E1","0.35E4","0.243E3"," None "
" Greasy Spring Rd. ","0.8073E3","0.5E0","0.36E4","0.1E3"," None "
" North Fork of Piney River ","0.8092E3","0.19E1","0.35E4","-0.1E3"," C,W "
" Elk Pond Branch ","0.8104E3","0.12E1","0.375E4","0.25E3"," C,W "
" Seeley-Woodworth Shelter (pic) ","0.8111E3","0.7E0","0.377E4","0.2E2"," S,W "
" Porters Field ","0.8122E3","0.11E1","0.365E4","-0.12E3"," C,W "
" Spy Rock Rd. ","0.8134E3","0.12E1","0.3454E4","-0.196E3"," None "
" Spy Rock ","0.8139E3","0.5E0","0.368E4","0.226E3"," None "
" Main Top Mt. ","0.8142E3","0.3E0","0.404E4","0.36E3"," None "
" Cash Hollow Rock ","0.815E3","0.8E0","0.355E4","-0.49E3"," None "
" Cash Hollow Rd. ","0.8163E3","0.13E1","0.328E4","-0.27E3"," None "
" VA 826, Crabtree Falls Trail ","0.8171E3","0.8E0","0.335E4","0.7E2"," C,W "
" The Priest Shelter (pic) ","0.818E3","0.9E0","0.384E4","0.49E3"," S,W "
" The Priest ","0.8185E3","0.5E0","0.4063E4","0.223E3"," None "
" Cripple Creek ","0.8215E3","0.3E1","0.18E4","-0.2263E4"," W "
" Tye River, VA 56 ","0.8228E3","0.13E1","0.97E3","-0.83E3"," C,W "
" Mau-Har Trail ","0.8245E3","0.17E1","0.209E4","0.112E4"," None "
" Harpers Creek Shelter (pic) ","0.8255E3","0.1E1","0.18E4","-0.29E3"," S,W "
" Chimney Rocks ","0.8275E3","0.2E1","0.319E4","0.139E4"," None "
" Three Ridges ","0.8288E3","0.13E1","0.387E4","0.68E3"," None "
" Hanging Rock Vista ","0.8297E3","0.9E0","0.375E4","-0.12E3"," None "
" Maupin Field Shelter (pic) ","0.8317E3","0.2E1","0.272E4","-0.103E4"," S,W,G*,L* "
" Reeds Gap, VA 664 ","0.8334E3","0.17E1","0.265E4","-0.7E2"," None "
" Three Ridges Overlook, BRP ","0.8339E3","0.5E0","0.27E4","0.5E2"," None "
" Cedar Cliffs ","0.8377E3","0.38E1","0.28E4","0.1E3"," None "
" Dripping Rock Parking Area, BRP ","0.8382E3","0.5E0","0.295E4","0.15E3"," W "
" Humpback Mt. ","0.841E3","0.28E1","0.325E4","0.3E3"," None "
" Humpback Rocks side trail ","0.842E3","0.1E1","0.0","-0.325E4"," None "
" Bear Spring ","0.8435E3","0.15E1","0.32E4","0.32E4"," W "
" Glass Hollow Overlook ","0.8457E3","0.22E1","0.275E4","-0.45E3"," None "
" Humpback Visitors Center trail ","0.846E3","0.3E0","0.215E4","-0.6E3"," W* "
" Paul C. Wolfe Shelter (pic) ","0.8475E3","0.15E1","0.17E4","-0.45E3"," S,W "
" Rockfish Gap, I-64 ","0.8525E3","0.5E1","0.1902E4","0.202E3"," L,R,G "
" Skyline Drive (SD) ","0.8527E3","0.2E0","0.1902E4","0.0"," None "
" Shenandoah NP kiosk ","0.8532E3","0.5E0","0.22E4","0.298E3"," None "
" McCormick Gap, SD ","0.8561E3","0.29E1","0.245E4","0.25E3"," None "
" Bear Den Mt. ","0.8574E3","0.13E1","0.2885E4","0.435E3"," None "
" Beagle Gap, SD ","0.8579E3","0.5E0","0.255E4","-0.335E3"," None "
" Calf Mt. Shelter (pic) ","0.8594E3","0.15E1","0.27E4","0.15E3"," S,W "
" spring ","0.86E3","0.6E0","0.22E4","-0.5E3"," W "
" Shenandoah NP south boundary ","0.8604E3","0.4E0","0.225E4","0.5E2"," None "
" spring ","0.8606E3","0.2E0","0.215E4","-0.1E3"," W "
" Sawmill Run Overlook, SD ","0.8622E3","0.16E1","0.22E4","0.5E2"," None "
" Turk Gap, SD ","0.8638E3","0.16E1","0.26E4","0.4E3"," None "
" Skyline Drive mp 92.4 ","0.8658E3","0.2E1","0.31E4","0.5E3"," None "
" Skyline Drive mp 88.9 ","0.8699E3","0.41E1","0.235E4","-0.75E3"," None "
" Blackrock Gap, SD ","0.8719E3","0.2E1","0.2321E4","-0.29E2"," None "
" Blackrock Hut (pic) ","0.8724E3","0.5E0","0.2645E4","0.324E3"," S,W "
" Blackrock ","0.873E3","0.6E0","0.31E4","0.455E3"," None "
" Skyline Drive mp 84.3 ","0.874E3","0.1E1","0.28E4","-0.3E3"," None "
" Browns Gap, SD ","0.8755E3","0.15E1","0.26E4","-0.2E3"," None "
" Skyline Drive mp 82.2 ","0.8764E3","0.9E0","0.28E4","0.2E3"," None "
" Doyles River Overlook, SD ","0.8768E3","0.4E0","0.28E4","0.0"," None "
" Doyles River Cabin, SD ","0.8777E3","0.9E0","0.29E4","0.1E3"," W "
" Loft Mt. Campground ","0.8798E3","0.21E1","0.33E4","0.4E3"," C,G,Cl,Sh,R* "
" Frazier Discovery Trail ","0.8809E3","0.11E1","0.295E4","-0.35E3"," R "
" Loft Mt. ","0.8816E3","0.7E0","0.32E4","0.25E3"," None "
" spring ","0.8819E3","0.3E0","0.295E4","-0.25E3"," W "
" Ivy Creek Overlook, SD ","0.884E3","0.21E1","0.28E4","-0.15E3"," None "
" Pinefield Hut (pic) ","0.8856E3","0.16E1","0.243E4","-0.37E3"," S,C,W "
" Pinefield Gap, SD ","0.8858E3","0.2E0","0.259E4","0.16E3"," None "
" Simmons Gap, SD ","0.8877E3","0.19E1","0.225E4","-0.34E3"," W "
" Powell Gap, SD ","0.891E3","0.33E1","0.2294E4","0.44E2"," None "
" Little Roundtop Mt. ","0.8914E3","0.4E0","0.27E4","0.406E3"," None "
" Smith Roach Gap, SD ","0.8926E3","0.12E1","0.26E4","-0.1E3"," None "
" Hightop Hut (pic) ","0.8938E3","0.12E1","0.3175E4","0.575E3"," S,C,W "
" spring ","0.8943E3","0.5E0","0.345E4","0.275E3"," W "
" Hightop ","0.8944E3","0.1E0","0.3587E4","0.137E3"," None "
" Skyline Drive mp 66.7 ","0.8959E3","0.15E1","0.265E4","-0.937E3"," None "
" Swift Run Gap, SD ","0.8972E3","0.13E1","0.2367E4","-0.283E3"," None "
" South River Picnic Grounds ","0.9002E3","0.3E1","0.32E4","0.833E3"," W "
